"","Sepal.Length","Sepal.Width","Petal.Length","Petal.Width","Species","Exemplar","Cluster"
"40",5.1,3.4,1.5,0.2,"setosa",8,1
"41",5,3.5,1.3,0.3,"setosa",8,1
"42",4.5,2.3,1.3,0.3,"setosa",8,1
"43",4.4,3.2,1.3,0.2,"setosa",8,1
"44",5,3.5,1.6,0.6,"setosa",8,1
"45",5.1,3.8,1.9,0.4,"setosa",8,1
"46",4.8,3,1.4,0.3,"setosa",8,1
"47",5.1,3.8,1.6,0.2,"setosa",8,1
"48",4.6,3.2,1.4,0.2,"setosa",8,1
"49",5.3,3.7,1.5,0.2,"setosa",8,1
"50",5,3.3,1.4,0.2,"setosa",8,1
"51",7,3.2,4.7,1.4,"versicolor",113,3
"52",6.4,3.2,4.5,1.5,"versicolor",56,2
"53",6.9,3.1,4.9,1.5,"versicolor",113,3
"54",5.5,2.3,4,1.3,"versicolor",56,2
"55",6.5,2.8,4.6,1.5,"versicolor",56,2
"56",5.7,2.8,4.5,1.3,"versicolor",56,2
"57",6.3,3.3,4.7,1.6,"versicolor",56,2
"58",4.9,2.4,3.3,1,"versicolor",56,2
"59",6.6,2.9,4.6,1.3,"versicolor",56,2
"60",5.2,2.7,3.9,1.4,"versicolor",56,2
"61",5,2,3.5,1,"versicolor",56,2
"62",5.9,3,4.2,1.5,"versicolor",56,2
"63",6,2.2,4,1,"versicolor",56,2
"64",6.1,2.9,4.7,1.4,"versicolor",56,2
"65",5.6,2.9,3.6,1.3,"versicolor",56,2
"66",6.7,3.1,4.4,1.4,"versicolor",56,2
"67",5.6,3,4.5,1.5,"versicolor",56,2
"68",5.8,2.7,4.1,1,"versicolor",56,2
"69",6.2,2.2,4.5,1.5,"versicolor",56,2
"70",5.6,2.5,3.9,1.1,"versicolor",56,2
"71",5.9,3.2,4.8,1.8,"versicolor",56,2
"72",6.1,2.8,4,1.3,"versicolor",56,2
"73",6.3,2.5,4.9,1.5,"versicolor",56,2
"74",6.1,2.8,4.7,1.2,"versicolor",56,2
"75",6.4,2.9,4.3,1.3,"versicolor",56,2
"76",6.6,3,4.4,1.4,"versicolor",56,2
"77",6.8,2.8,4.8,1.4,"versicolor",113,3
"78",6.7,3,5,1.7,"versicolor",113,3
"79",6,2.9,4.5,1.5,"versicolor",56,2
"80",5.7,2.6,3.5,1,"versicolor",56,2
"81",5.5,2.4,3.8,1.1,"versicolor",56,2
"82",5.5,2.4,3.7,1,"versicolor",56,2
"83",5.8,2.7,3.9,1.2,"versicolor",56,2
"84",6,2.7,5.1,1.6,"versicolor",56,2
"85",5.4,3,4.5,1.5,"versicolor",56,2
"86",6,3.4,4.5,1.6,"versicolor",56,2
"87",6.7,3.1,4.7,1.5,"versicolor",113,3
"88",6.3,2.3,4.4,1.3,"versicolor",56,2
"89",5.6,3,4.1,1.3,"versicolor",56,2
"90",5.5,2.5,4,1.3,"versicolor",56,2
"91",5.5,2.6,4.4,1.2,"versicolor",56,2
"92",6.1,3,4.6,1.4,"versicolor",56,2
"93",5.8,2.6,4,1.2,"versicolor",56,2
"94",5,2.3,3.3,1,"versicolor",56,2
"95",5.6,2.7,4.2,1.3,"versicolor",56,2
"96",5.7,3,4.2,1.2,"versicolor",56,2
"97",5.7,2.9,4.2,1.3,"versicolor",56,2
"98",6.2,2.9,4.3,1.3,"versicolor",56,2
"99",5.1,2.5,3,1.1,"versicolor",56,2
"100",5.7,2.8,4.1,1.3,"versicolor",56,2
"101",6.3,3.3,6,2.5,"virginica",113,3
"102",5.8,2.7,5.1,1.9,"virginica",56,2
"103",7.1,3,5.9,2.1,"virginica",113,3
"104",6.3,2.9,5.6,1.8,"virginica",113,3
"105",6.5,3,5.8,2.2,"virginica",113,3
"106",7.6,3,6.6,2.1,"virginica",113,3
"107",4.9,2.5,4.5,1.7,"virginica",56,2
"108",7.3,2.9,6.3,1.8,"virginica",113,3
"109",6.7,2.5,5.8,1.8,"virginica",113,3
"110",7.2,3.6,6.1,2.5,"virginica",113,3
"111",6.5,3.2,5.1,2,"virginica",113,3
"112",6.4,2.7,5.3,1.9,"virginica",113,3
"113",6.8,3,5.5,2.1,"virginica",113,3
"114",5.7,2.5,5,2,"virginica",56,2
"115",5.8,2.8,5.1,2.4,"virginica",113,3
"116",6.4,3.2,5.3,2.3,"virginica",113,3
"117",6.5,3,5.5,1.8,"virginica",113,3
"118",7.7,3.8,6.7,2.2,"virginica",113,3
"119",7.7,2.6,6.9,2.3,"virginica",113,3
"120",6,2.2,5,1.5,"virginica",56,2
"121",6.9,3.2,5.7,2.3,"virginica",113,3
"122",5.6,2.8,4.9,2,"virginica",56,2
"123",7.7,2.8,6.7,2,"virginica",113,3
"124",6.3,2.7,4.9,1.8,"virginica",56,2
"125",6.7,3.3,5.7,2.1,"virginica",113,3
"126",7.2,3.2,6,1.8,"virginica",113,3
"127",6.2,2.8,4.8,1.8,"virginica",56,2
"128",6.1,3,4.9,1.8,"virginica",56,2
"129",6.4,2.8,5.6,2.1,"virginica",113,3
"130",7.2,3,5.8,1.6,"virginica",113,3
"131",7.4,2.8,6.1,1.9,"virginica",113,3
"132",7.9,3.8,6.4,2,"virginica",113,3
"133",6.4,2.8,5.6,2.2,"virginica",113,3
"134",6.3,2.8,5.1,1.5,"virginica",56,2
"135",6.1,2.6,5.6,1.4,"virginica",113,3
"136",7.7,3,6.1,2.3,"virginica",113,3
"137",6.3,3.4,5.6,2.4,"virginica",113,3
"138",6.4,3.1,5.5,1.8,"virginica",113,3
"139",6,3,4.8,1.8,"virginica",56,2
"140",6.9,3.1,5.4,2.1,"virginica",113,3
"141",6.7,3.1,5.6,2.4,"virginica",113,3
"142",6.9,3.1,5.1,2.3,"virginica",113,3
"143",5.8,2.7,5.1,1.9,"virginica",56,2
"144",6.8,3.2,5.9,2.3,"virginica",113,3
"145",6.7,3.3,5.7,2.5,"virginica",113,3
"146",6.7,3,5.2,2.3,"virginica",113,3
"147",6.3,2.5,5,1.9,"virginica",113,3
"148",6.5,3,5.2,2,"virginica",113,3
"149",6.2,3.4,5.4,2.3,"virginica",113,3
"150",5.9,3,5.1,1.8,"virginica",56,2
