ID,class,capShape,capSurface,capColor,bruises,odor,gillAttachment,gillSpacing,gillSize,gillColor,stalkShape,stalkRoot,stalkSurfaceAboveRing,stalkSurfaceBelowRing,stalkColorAboveRing,stalkColorBelowRing,ringNumber,ringType,sporePrintColor,population,habitat
16,poisonous,knobbed,scaly,red,none,fishy,free,close,narrow,buff,tapering,cup,silky,smooth,pink,white,1,evanescent,white,several,woods
17,edible,flat,fibrous,brown,none,none,free,crowded,broad,chocolate,tapering,equal,smooth,fibrous,white,white,1,evanescent,brown,abundant,grasses
18,poisonous,convex,scaly,brown,none,spicey,free,close,narrow,buff,tapering,cup,silky,smooth,pink,white,1,evanescent,white,several,leaves
19,edible,convex,fibrous,brown,none,none,free,crowded,broad,brown,tapering,equal,fibrous,smooth,white,white,1,evanescent,brown,abundant,grasses
20,edible,flat,fibrous,brown,bruises,none,free,close,broad,white,tapering,bulbuous,smooth,smooth,white,gray,1,pendant,brown,several,woods
21,poisonous,convex,fibrous,yellow,none,foul,free,close,broad,chocolate,enlarging,bulbuous,silky,smooth,pink,buff,1,large,chocolate,solitary,woods
22,poisonous,flat,smooth,white,bruises,foul,free,close,broad,white,tapering,bulbuous,fibrous,fibrous,white,white,1,pendant,chocolate,several,grasses
23,edible,flat,fibrous,gray,bruises,none,free,close,broad,purple,tapering,bulbuous,smooth,smooth,white,white,1,pendant,black,solitary,woods
24,edible,flat,scaly,brown,bruises,none,free,close,broad,pink,tapering,bulbuous,smooth,smooth,gray,gray,1,pendant,black,solitary,woods
25,edible,convex,scaly,brown,bruises,none,free,close,broad,white,tapering,bulbuous,smooth,smooth,white,white,1,pendant,black,several,woods
26,poisonous,flat,smooth,buff,bruises,foul,free,close,broad,chocolate,tapering,bulbuous,fibrous,smooth,white,white,1,pendant,chocolate,scattered,grasses
27,edible,bell,scaly,white,bruises,ansie,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,1,pendant,black,scattered,meadows
28,edible,flat,smooth,yellow,bruises,ansie,free,crowded,narrow,pink,tapering,bulbuous,smooth,smooth,white,white,1,pendant,brown,several,woods
29,poisonous,flat,scaly,brown,none,none,free,close,narrow,white,enlarging,cup,silky,scaly,white,brown,1,evanescent,white,several,woods
30,edible,flat,scaly,brown,bruises,none,free,close,broad,white,tapering,bulbuous,smooth,smooth,gray,white,1,pendant,black,solitary,woods
31,poisonous,convex,smooth,brown,none,foul,free,close,narrow,buff,tapering,cup,silky,smooth,pink,white,1,evanescent,white,several,leaves
32,edible,convex,fibrous,brown,bruises,none,free,close,broad,pink,tapering,bulbuous,smooth,smooth,pink,white,1,pendant,black,several,woods
33,edible,convex,scaly,white,bruises,ansie,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,1,pendant,brown,numerous,meadows
34,edible,convex,smooth,brown,none,none,free,crowded,broad,brown,tapering,equal,smooth,smooth,white,white,1,evanescent,black,abundant,grasses
35,poisonous,flat,scaly,brown,none,foul,free,close,narrow,buff,tapering,cup,silky,smooth,white,white,1,evanescent,white,several,woods
36,poisonous,convex,scaly,gray,none,foul,free,close,broad,chocolate,enlarging,bulbuous,silky,smooth,brown,brown,1,large,chocolate,several,woods
37,edible,knobbed,smooth,white,none,none,free,crowded,broad,pink,enlarging,cup,silky,smooth,white,white,2,pendant,white,numerous,grasses
38,edible,convex,fibrous,brown,none,none,free,close,narrow,pink,enlarging,equal,smooth,smooth,white,white,1,pendant,black,several,urban
39,poisonous,convex,fibrous,pink,none,creosote,free,crowded,narrow,gray,enlarging,bulbuous,smooth,smooth,white,white,1,pendant,black,scattered,woods
40,edible,convex,fibrous,white,bruises,ansie,free,crowded,narrow,pink,tapering,bulbuous,smooth,smooth,white,white,1,pendant,brown,several,woods
41,poisonous,convex,fibrous,gray,none,foul,free,close,broad,chocolate,enlarging,bulbuous,silky,smooth,pink,buff,1,large,chocolate,solitary,woods
42,edible,flat,fibrous,red,bruises,none,free,close,broad,brown,tapering,bulbuous,smooth,smooth,gray,white,1,pendant,brown,solitary,woods
43,edible,convex,scaly,brown,bruises,none,free,close,broad,brown,tapering,bulbuous,smooth,smooth,white,gray,1,pendant,black,several,woods
44,poisonous,flat,scaly,buff,bruises,none,free,close,broad,green,enlarging,bulbuous,smooth,smooth,white,white,2,pendant,green,several,grasses
45,edible,flat,fibrous,red,bruises,none,free,close,broad,pink,tapering,bulbuous,smooth,smooth,pink,gray,1,pendant,black,solitary,woods
46,edible,convex,smooth,brown,none,none,free,crowded,broad,chocolate,tapering,equal,smooth,smooth,white,white,1,evanescent,brown,abundant,grasses
47,poisonous,convex,smooth,buff,bruises,foul,free,close,broad,chocolate,tapering,bulbuous,fibrous,smooth,white,white,1,pendant,chocolate,several,urban
48,poisonous,convex,scaly,gray,none,foul,free,close,broad,chocolate,enlarging,bulbuous,silky,smooth,pink,pink,1,large,chocolate,solitary,paths
49,poisonous,convex,scaly,yellow,none,foul,free,close,broad,chocolate,enlarging,bulbuous,silky,smooth,brown,buff,1,large,chocolate,solitary,paths
50,edible,flat,smooth,brown,none,none,attached,close,broad,orange,enlarging,cup,smooth,smooth,orange,orange,1,pendant,buff,several,leaves
51,edible,convex,smooth,yellow,bruises,almond,free,close,broad,black,enlarging,club,smooth,smooth,white,white,1,pendant,brown,numerous,grasses
52,poisonous,convex,scaly,yellow,none,foul,free,close,broad,chocolate,enlarging,bulbuous,silky,smooth,buff,pink,1,large,chocolate,several,grasses
53,edible,convex,fibrous,red,bruises,none,free,close,broad,brown,tapering,bulbuous,smooth,smooth,white,pink,1,pendant,brown,several,woods
54,poisonous,flat,fibrous,gray,none,foul,free,close,broad,gray,enlarging,bulbuous,silky,smooth,brown,brown,1,large,chocolate,solitary,paths
55,edible,convex,scaly,yellow,bruises,ansie,free,close,broad,black,enlarging,club,smooth,smooth,white,white,1,pendant,brown,numerous,meadows
56,poisonous,knobbed,smooth,brown,none,fishy,free,close,narrow,buff,tapering,cup,smooth,smooth,white,pink,1,evanescent,white,several,woods
57,edible,flat,scaly,yellow,bruises,ansie,free,close,broad,pink,enlarging,rooted,smooth,scaly,white,white,1,pendant,black,scattered,grasses
58,edible,bell,scaly,yellow,bruises,ansie,free,close,broad,black,enlarging,club,smooth,smooth,white,white,1,pendant,black,numerous,meadows
59,edible,knobbed,scaly,buff,bruises,none,free,close,broad,white,enlarging,cup,smooth,smooth,white,red,2,evanescent,white,clustered,waste
60,edible,convex,smooth,brown,none,none,attached,close,broad,orange,enlarging,cup,smooth,smooth,orange,orange,1,pendant,buff,several,leaves
61,poisonous,convex,fibrous,gray,none,foul,free,close,broad,pink,enlarging,bulbuous,silky,smooth,pink,buff,1,large,chocolate,solitary,woods
62,poisonous,knobbed,smooth,brown,none,fishy,free,close,narrow,buff,tapering,cup,silky,smooth,pink,white,1,evanescent,white,several,paths
63,poisonous,knobbed,smooth,brown,none,spicey,free,close,narrow,buff,tapering,cup,smooth,smooth,pink,white,1,evanescent,white,several,woods
64,poisonous,convex,smooth,white,none,creosote,free,crowded,narrow,purple,enlarging,bulbuous,smooth,smooth,white,white,1,pendant,brown,scattered,woods
65,edible,flat,smooth,brown,none,none,free,crowded,broad,pink,tapering,equal,smooth,fibrous,white,white,1,evanescent,brown,scattered,grasses
66,edible,convex,scaly,green,none,none,free,close,narrow,pink,enlarging,cup,smooth,fibrous,white,white,1,flaring,chocolate,several,woods
67,edible,convex,scaly,yellow,bruises,almond,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,1,pendant,brown,scattered,grasses
68,edible,knobbed,fibrous,white,none,none,free,crowded,broad,pink,enlarging,cup,smooth,smooth,white,white,2,pendant,white,scattered,grasses
69,edible,convex,fibrous,red,bruises,none,free,close,broad,purple,tapering,bulbuous,smooth,smooth,gray,white,1,pendant,black,solitary,woods
70,edible,convex,scaly,white,bruises,almond,free,close,broad,black,enlarging,club,smooth,smooth,white,white,1,pendant,brown,numerous,grasses
71,edible,convex,fibrous,gray,bruises,none,free,close,broad,pink,tapering,bulbuous,smooth,smooth,pink,pink,1,pendant,black,several,woods
72,poisonous,convex,scaly,brown,none,spicey,free,close,narrow,buff,tapering,cup,silky,smooth,white,pink,1,evanescent,white,several,paths
73,edible,convex,scaly,yellow,bruises,ansie,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,1,pendant,brown,scattered,grasses
74,edible,flat,scaly,red,bruises,none,free,close,broad,purple,tapering,bulbuous,smooth,smooth,white,pink,1,pendant,black,solitary,woods
75,edible,convex,fibrous,gray,bruises,none,free,close,broad,brown,tapering,bulbuous,smooth,smooth,white,gray,1,pendant,brown,several,woods
76,poisonous,flat,smooth,gray,bruises,foul,free,close,broad,chocolate,tapering,bulbuous,smooth,smooth,white,white,1,pendant,chocolate,scattered,urban
77,edible,convex,fibrous,brown,bruises,none,free,close,broad,brown,tapering,bulbuous,smooth,smooth,gray,pink,1,pendant,black,solitary,woods
78,edible,flat,fibrous,brown,bruises,none,free,close,broad,purple,tapering,bulbuous,smooth,smooth,white,white,1,pendant,brown,several,woods
79,poisonous,flat,fibrous,gray,none,foul,free,close,broad,gray,enlarging,bulbuous,silky,smooth,buff,pink,1,large,chocolate,several,paths
80,edible,convex,fibrous,red,bruises,none,free,close,broad,white,tapering,bulbuous,smooth,smooth,pink,white,1,pendant,brown,solitary,woods
81,edible,convex,scaly,red,bruises,none,free,close,broad,white,tapering,bulbuous,smooth,smooth,pink,pink,1,pendant,brown,solitary,woods
82,edible,flat,fibrous,gray,bruises,none,free,close,broad,purple,tapering,bulbuous,smooth,smooth,gray,pink,1,pendant,black,solitary,woods
83,edible,flat,fibrous,red,bruises,none,free,close,broad,brown,tapering,bulbuous,smooth,smooth,white,pink,1,pendant,brown,solitary,woods
84,poisonous,bell,smooth,white,bruises,none,free,close,broad,gray,enlarging,bulbuous,smooth,smooth,white,white,2,pendant,green,several,meadows
85,poisonous,flat,scaly,buff,bruises,none,free,close,broad,white,enlarging,bulbuous,smooth,smooth,white,white,2,pendant,green,several,grasses
86,poisonous,flat,scaly,white,bruises,pungent,free,close,narrow,black,enlarging,equal,smooth,smooth,white,white,1,pendant,brown,several,grasses
87,edible,convex,smooth,white,none,none,free,crowded,broad,gray,enlarging,cup,silky,smooth,white,white,2,pendant,white,numerous,grasses
88,edible,flat,smooth,brown,none,none,free,crowded,broad,black,tapering,equal,fibrous,smooth,white,white,1,evanescent,black,scattered,grasses
89,edible,flat,scaly,brown,bruises,none,free,close,broad,purple,tapering,bulbuous,smooth,smooth,white,white,1,pendant,black,several,woods
90,poisonous,convex,smooth,pink,none,creosote,free,crowded,narrow,gray,enlarging,bulbuous,smooth,smooth,white,white,1,pendant,black,scattered,woods
91,poisonous,flat,smooth,white,bruises,pungent,free,close,narrow,black,enlarging,equal,smooth,smooth,white,white,1,pendant,black,several,urban
92,poisonous,convex,scaly,gray,none,foul,free,close,broad,pink,enlarging,bulbuous,silky,smooth,pink,buff,1,large,chocolate,solitary,grasses
93,edible,flat,scaly,gray,bruises,none,free,close,broad,purple,tapering,bulbuous,smooth,smooth,gray,pink,1,pendant,brown,several,woods
94,poisonous,convex,fibrous,yellow,none,foul,free,close,broad,gray,enlarging,bulbuous,silky,smooth,buff,buff,1,large,chocolate,several,grasses
95,edible,flat,fibrous,red,bruises,none,free,close,broad,brown,tapering,bulbuous,smooth,smooth,gray,gray,1,pendant,black,solitary,woods
96,poisonous,convex,smooth,brown,none,fishy,free,close,narrow,buff,tapering,cup,smooth,smooth,pink,pink,1,evanescent,white,several,paths
97,poisonous,convex,smooth,brown,none,foul,free,close,narrow,buff,tapering,cup,smooth,smooth,pink,pink,1,evanescent,white,several,paths
98,poisonous,flat,scaly,brown,none,foul,free,close,narrow,buff,tapering,cup,smooth,smooth,pink,white,1,evanescent,white,several,paths
99,edible,convex,scaly,brown,bruises,almond,free,close,broad,white,enlarging,rooted,smooth,scaly,white,white,1,pendant,black,scattered,paths
100,edible,flat,smooth,gray,bruises,none,free,close,broad,white,enlarging,bulbuous,smooth,smooth,white,white,2,pendant,white,solitary,paths
101,edible,convex,smooth,red,bruises,none,free,close,broad,white,enlarging,cup,smooth,smooth,red,white,2,evanescent,white,clustered,waste
102,edible,flat,scaly,gray,bruises,none,free,close,broad,white,tapering,bulbuous,smooth,smooth,gray,pink,1,pendant,black,solitary,woods
103,poisonous,knobbed,smooth,red,none,foul,free,close,narrow,buff,tapering,cup,silky,smooth,white,white,1,evanescent,white,several,paths
104,poisonous,knobbed,smooth,red,none,spicey,free,close,narrow,buff,tapering,cup,smooth,smooth,white,white,1,evanescent,white,several,leaves
105,poisonous,flat,scaly,yellow,none,foul,free,close,broad,pink,enlarging,bulbuous,silky,smooth,brown,brown,1,large,chocolate,solitary,paths
106,edible,sunken,fibrous,brown,none,none,free,close,narrow,gray,enlarging,equal,smooth,smooth,white,white,1,pendant,black,solitary,urban
107,poisonous,knobbed,smooth,red,none,spicey,free,close,narrow,buff,tapering,cup,smooth,smooth,pink,pink,1,evanescent,white,several,woods
108,edible,flat,smooth,gray,none,none,free,crowded,broad,chocolate,tapering,equal,smooth,fibrous,white,white,1,evanescent,brown,scattered,grasses
109,edible,flat,scaly,gray,bruises,none,free,close,broad,white,tapering,bulbuous,smooth,smooth,gray,gray,1,pendant,brown,solitary,woods
110,poisonous,convex,smooth,buff,bruises,foul,free,close,broad,pink,tapering,bulbuous,smooth,smooth,white,white,1,pendant,chocolate,scattered,grasses
111,poisonous,convex,smooth,brown,none,foul,free,close,narrow,buff,tapering,cup,silky,smooth,white,pink,1,evanescent,white,several,leaves
112,poisonous,flat,fibrous,yellow,none,foul,free,close,broad,pink,enlarging,bulbuous,silky,smooth,buff,brown,1,large,chocolate,several,grasses
113,edible,knobbed,fibrous,brown,none,none,free,crowded,narrow,white,enlarging,bulbuous,smooth,fibrous,white,brown,1,evanescent,white,several,leaves
114,poisonous,knobbed,scaly,brown,none,spicey,free,close,narrow,buff,tapering,cup,smooth,smooth,pink,white,1,evanescent,white,several,woods
115,poisonous,convex,fibrous,gray,none,foul,free,close,broad,gray,enlarging,bulbuous,silky,smooth,buff,pink,1,large,chocolate,solitary,woods
116,poisonous,flat,fibrous,gray,none,foul,free,close,broad,gray,enlarging,bulbuous,silky,smooth,brown,brown,1,large,chocolate,solitary,woods
117,edible,convex,scaly,brown,bruises,none,free,close,broad,white,tapering,bulbuous,smooth,smooth,pink,gray,1,pendant,brown,several,woods
118,poisonous,convex,smooth,red,none,fishy,free,close,narrow,buff,tapering,cup,smooth,smooth,pink,pink,1,evanescent,white,several,paths
119,poisonous,convex,fibrous,gray,none,foul,free,close,broad,chocolate,enlarging,bulbuous,silky,smooth,pink,brown,1,large,chocolate,solitary,woods
120,edible,flat,fibrous,gray,bruises,none,free,close,broad,white,tapering,bulbuous,smooth,smooth,pink,gray,1,pendant,brown,several,woods
121,poisonous,knobbed,scaly,red,none,spicey,free,close,narrow,buff,tapering,cup,smooth,smooth,white,pink,1,evanescent,white,several,leaves
122,edible,flat,smooth,white,none,none,free,crowded,broad,black,tapering,equal,fibrous,fibrous,white,white,1,evanescent,black,scattered,grasses
123,poisonous,convex,fibrous,pink,none,creosote,free,close,narrow,brown,enlarging,bulbuous,smooth,smooth,white,white,1,pendant,brown,scattered,woods
124,edible,convex,smooth,white,bruises,ansie,free,close,broad,white,enlarging,club,smooth,smooth,white,white,1,pendant,black,scattered,meadows
125,edible,flat,fibrous,gray,bruises,none,free,close,broad,purple,tapering,bulbuous,smooth,smooth,pink,gray,1,pendant,brown,several,woods
126,edible,convex,fibrous,brown,none,none,free,crowded,narrow,white,enlarging,bulbuous,smooth,smooth,white,brown,1,evanescent,white,several,leaves
127,poisonous,flat,scaly,yellow,none,foul,free,close,broad,pink,enlarging,bulbuous,silky,smooth,buff,pink,1,large,chocolate,solitary,paths
128,poisonous,convex,smooth,red,none,spicey,free,close,narrow,buff,tapering,cup,silky,smooth,white,pink,1,evanescent,white,several,leaves
129,edible,convex,smooth,white,none,none,free,crowded,broad,black,tapering,equal,smooth,smooth,white,white,1,evanescent,brown,scattered,grasses
130,edible,flat,smooth,yellow,bruises,ansie,free,crowded,narrow,white,tapering,bulbuous,smooth,smooth,white,white,1,pendant,purple,several,woods
131,edible,flat,scaly,buff,bruises,none,free,close,broad,white,enlarging,cup,smooth,smooth,red,red,2,evanescent,white,clustered,waste
132,edible,convex,smooth,brown,none,none,attached,close,broad,yellow,enlarging,cup,smooth,smooth,orange,orange,1,pendant,yellow,clustered,leaves
133,edible,convex,scaly,brown,bruises,none,free,close,broad,brown,tapering,bulbuous,smooth,smooth,white,white,1,pendant,black,several,woods
134,poisonous,bell,smooth,pink,bruises,none,free,close,broad,white,enlarging,bulbuous,smooth,smooth,white,white,2,pendant,green,several,grasses
135,poisonous,flat,scaly,yellow,none,none,free,crowded,narrow,yellow,enlarging,club,scaly,scaly,yellow,yellow,1,evanescent,white,clustered,leaves
136,poisonous,knobbed,smooth,brown,none,fishy,free,close,narrow,buff,tapering,cup,silky,smooth,white,pink,1,evanescent,white,several,woods
137,poisonous,flat,scaly,red,none,foul,free,close,narrow,buff,tapering,cup,smooth,smooth,white,pink,1,evanescent,white,several,woods
138,edible,flat,scaly,yellow,bruises,ansie,free,close,broad,pink,enlarging,rooted,smooth,scaly,white,white,1,pendant,brown,scattered,paths
139,poisonous,bell,scaly,buff,bruises,none,free,close,broad,gray,enlarging,bulbuous,smooth,smooth,white,white,2,pendant,green,several,meadows
140,edible,flat,scaly,red,bruises,none,free,close,broad,pink,tapering,bulbuous,smooth,smooth,gray,white,1,pendant,brown,several,woods
141,poisonous,convex,smooth,red,none,fishy,free,close,narrow,buff,tapering,cup,silky,smooth,pink,white,1,evanescent,white,several,woods
142,poisonous,convex,scaly,red,none,spicey,free,close,narrow,buff,tapering,cup,smooth,smooth,white,white,1,evanescent,white,several,paths
143,poisonous,knobbed,scaly,brown,none,spicey,free,close,narrow,buff,tapering,cup,smooth,smooth,pink,white,1,evanescent,white,several,paths
144,poisonous,convex,scaly,yellow,none,foul,free,close,broad,chocolate,enlarging,bulbuous,silky,smooth,brown,pink,1,large,chocolate,several,grasses
145,edible,convex,scaly,yellow,bruises,ansie,free,close,broad,black,enlarging,club,smooth,smooth,white,white,1,pendant,black,numerous,grasses
146,edible,convex,fibrous,brown,bruises,none,free,close,broad,white,tapering,bulbuous,smooth,smooth,white,white,1,pendant,black,several,woods
147,poisonous,convex,smooth,pink,none,creosote,free,close,narrow,pink,enlarging,bulbuous,smooth,smooth,white,white,1,pendant,brown,scattered,woods
148,edible,knobbed,smooth,brown,none,none,attached,close,broad,orange,enlarging,cup,smooth,smooth,orange,orange,1,pendant,yellow,several,leaves
149,poisonous,flat,smooth,brown,bruises,pungent,free,close,narrow,pink,enlarging,equal,smooth,smooth,white,white,1,pendant,black,scattered,grasses
150,edible,convex,scaly,brown,bruises,none,free,close,broad,brown,tapering,bulbuous,smooth,smooth,gray,white,1,pendant,brown,solitary,woods
151,poisonous,flat,scaly,gray,none,foul,free,close,broad,chocolate,enlarging,bulbuous,silky,smooth,buff,pink,1,large,chocolate,several,grasses
152,edible,convex,fibrous,brown,none,none,free,close,narrow,black,enlarging,equal,smooth,smooth,white,white,1,pendant,brown,solitary,urban
153,poisonous,convex,scaly,red,none,foul,free,close,narrow,buff,tapering,cup,smooth,smooth,white,pink,1,evanescent,white,several,woods
154,edible,convex,fibrous,gray,none,none,free,crowded,broad,brown,tapering,equal,smooth,fibrous,white,white,1,evanescent,black,abundant,grasses
155,edible,convex,fibrous,gray,none,none,free,crowded,broad,pink,enlarging,cup,silky,smooth,white,white,2,pendant,white,scattered,grasses
156,poisonous,convex,smooth,white,bruises,foul,free,close,broad,white,tapering,bulbuous,fibrous,fibrous,white,white,1,pendant,chocolate,scattered,urban
157,poisonous,bell,smooth,pink,bruises,none,free,close,broad,green,enlarging,bulbuous,smooth,smooth,white,white,2,pendant,green,several,meadows
158,edible,convex,fibrous,brown,bruises,none,free,close,broad,pink,tapering,bulbuous,smooth,smooth,gray,pink,1,pendant,black,solitary,woods
159,poisonous,convex,scaly,yellow,none,foul,free,close,broad,pink,enlarging,bulbuous,silky,smooth,brown,brown,1,large,chocolate,several,woods
160,edible,convex,scaly,brown,bruises,none,free,close,broad,red,enlarging,cup,smooth,smooth,red,white,2,evanescent,white,clustered,waste
161,poisonous,convex,fibrous,gray,none,foul,free,close,broad,pink,enlarging,bulbuous,silky,smooth,brown,buff,1,large,chocolate,solitary,paths
162,edible,convex,scaly,gray,bruises,none,free,close,broad,brown,tapering,bulbuous,smooth,smooth,gray,gray,1,pendant,brown,solitary,woods
163,edible,convex,fibrous,gray,none,none,free,crowded,broad,black,tapering,equal,fibrous,fibrous,white,white,1,evanescent,black,abundant,grasses
164,edible,knobbed,smooth,brown,none,none,attached,close,broad,yellow,enlarging,cup,smooth,smooth,orange,orange,1,pendant,orange,several,leaves
165,edible,convex,fibrous,red,bruises,none,free,close,broad,white,tapering,bulbuous,smooth,smooth,pink,pink,1,pendant,brown,several,woods
166,edible,flat,fibrous,white,none,none,free,crowded,broad,brown,tapering,equal,smooth,smooth,white,white,1,evanescent,brown,abundant,grasses
167,poisonous,convex,fibrous,pink,none,creosote,free,crowded,narrow,purple,enlarging,bulbuous,smooth,smooth,white,white,1,pendant,black,several,woods
168,edible,flat,smooth,white,none,none,free,crowded,broad,pink,tapering,equal,smooth,fibrous,white,white,1,evanescent,black,scattered,grasses
169,poisonous,flat,scaly,yellow,none,foul,free,close,broad,gray,enlarging,bulbuous,silky,smooth,pink,brown,1,large,chocolate,solitary,paths
170,edible,convex,scaly,white,bruises,almond,free,close,broad,white,enlarging,club,smooth,smooth,white,white,1,pendant,black,scattered,meadows
171,edible,flat,fibrous,red,bruises,none,free,close,broad,white,tapering,bulbuous,smooth,smooth,gray,pink,1,pendant,brown,several,woods
172,edible,knobbed,smooth,brown,bruises,none,free,close,broad,red,enlarging,cup,smooth,smooth,red,red,2,evanescent,white,clustered,waste
173,edible,convex,scaly,yellow,bruises,almond,free,close,broad,pink,enlarging,rooted,smooth,scaly,white,white,1,pendant,black,solitary,paths
174,edible,convex,scaly,white,bruises,almond,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,1,pendant,brown,scattered,grasses
175,edible,flat,scaly,gray,bruises,none,free,close,broad,pink,tapering,bulbuous,smooth,smooth,pink,pink,1,pendant,brown,several,woods
176,edible,bell,scaly,white,bruises,ansie,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,1,pendant,black,scattered,meadows
177,edible,flat,fibrous,red,bruises,none,free,close,broad,pink,tapering,bulbuous,smooth,smooth,pink,pink,1,pendant,brown,solitary,woods
178,poisonous,flat,smooth,red,none,foul,free,close,narrow,buff,tapering,cup,silky,smooth,white,pink,1,evanescent,white,several,paths
179,edible,flat,fibrous,brown,none,none,free,crowded,broad,chocolate,tapering,equal,fibrous,smooth,white,white,1,evanescent,brown,scattered,grasses
180,poisonous,flat,smooth,buff,bruises,foul,free,close,broad,pink,tapering,bulbuous,fibrous,fibrous,white,white,1,pendant,chocolate,scattered,grasses
181,poisonous,convex,smooth,white,bruises,foul,free,close,broad,white,tapering,bulbuous,smooth,fibrous,white,white,1,pendant,chocolate,several,grasses
182,poisonous,convex,fibrous,gray,none,foul,free,close,broad,chocolate,enlarging,bulbuous,silky,smooth,pink,pink,1,large,chocolate,solitary,grasses
183,edible,convex,scaly,pink,bruises,none,free,close,broad,red,enlarging,cup,smooth,smooth,red,white,2,evanescent,white,clustered,waste
184,poisonous,flat,fibrous,gray,none,foul,free,close,broad,chocolate,enlarging,bulbuous,silky,smooth,buff,brown,1,large,chocolate,several,woods
185,poisonous,convex,smooth,red,none,spicey,free,close,narrow,buff,tapering,cup,smooth,smooth,white,white,1,evanescent,white,several,leaves
186,poisonous,bell,fibrous,yellow,none,none,free,close,narrow,white,enlarging,cup,silky,scaly,white,brown,1,evanescent,white,several,woods
187,edible,bell,smooth,brown,none,none,attached,close,broad,yellow,enlarging,cup,smooth,smooth,orange,orange,1,pendant,orange,several,leaves
188,poisonous,flat,smooth,red,none,fishy,free,close,narrow,buff,tapering,cup,smooth,smooth,pink,white,1,evanescent,white,several,leaves
189,edible,convex,scaly,brown,bruises,almond,free,close,broad,white,enlarging,rooted,smooth,scaly,white,white,1,pendant,black,solitary,grasses
190,edible,knobbed,smooth,brown,none,none,attached,close,broad,orange,enlarging,cup,smooth,smooth,orange,orange,1,pendant,brown,clustered,leaves
191,poisonous,flat,fibrous,yellow,none,foul,free,close,broad,pink,enlarging,bulbuous,silky,smooth,pink,brown,1,large,chocolate,solitary,woods
192,poisonous,knobbed,smooth,red,none,fishy,free,close,narrow,buff,tapering,cup,silky,smooth,white,pink,1,evanescent,white,several,woods
193,edible,flat,smooth,gray,none,none,free,crowded,broad,brown,tapering,equal,fibrous,fibrous,white,white,1,evanescent,brown,abundant,grasses
194,poisonous,knobbed,scaly,brown,none,spicey,free,close,narrow,buff,tapering,cup,silky,smooth,white,pink,1,evanescent,white,several,leaves
195,poisonous,convex,smooth,white,none,creosote,free,crowded,narrow,pink,enlarging,bulbuous,smooth,smooth,white,white,1,pendant,black,several,woods
196,edible,convex,scaly,yellow,bruises,almond,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,1,pendant,black,numerous,meadows
197,edible,convex,scaly,brown,bruises,none,free,close,broad,purple,tapering,bulbuous,smooth,smooth,pink,white,1,pendant,brown,solitary,woods
